second,p99_latency_ms,cpu_cores
0,158.21,1.0000
1,142.52,1.0000
2,130.19,1.0000
3,145.57,1.0000
4,168.22,1.0000
5,320.75,1.0000
6,227.79,1.0000
7,222.46,1.0000
8,137.63,1.0000
9,322.88,1.0000
10,178.44,1.0000
11,392.29,1.0000
12,289.58,1.0000
13,110.47,1.0000
14,133.00,1.0000
15,494.46,1.0000
16,171.59,1.0000
17,202.11,1.0000
18,322.64,1.0000
19,401.00,1.0000
20,341.06,1.0000
21,128.28,1.0000
22,119.37,1.0000
23,165.20,2.0000
24,183.92,2.0000
25,157.18,2.0000
26,455.68,2.0000
27,600.39,2.0000
28,258.92,2.0000
29,180.39,2.0000
30,119.52,3.0000
31,115.62,3.0000
32,220.48,3.0000
33,175.82,3.0000
34,306.45,3.0000
35,140.12,3.0000
36,134.67,3.0000
37,298.25,3.0000
38,183.52,3.0000
39,136.30,3.0000
40,150.35,3.0000
41,127.39,3.0000
42,147.36,4.0000
43,119.95,4.0000
44,116.50,4.0000
45,121.71,4.0000
46,132.62,4.0000
47,120.34,4.0000
48,147.90,4.0000
49,124.00,4.0000
50,172.83,5.0000
51,94.13,5.0000
52,127.59,5.0000
53,115.47,5.0000
54,172.51,5.0000
55,161.81,5.0000
56,116.94,5.0000
57,119.37,6.0000
58,168.96,6.0000
59,118.07,6.0000
60,158.27,6.0000
61,116.28,6.0000
62,102.72,6.0000
63,123.08,6.0000
64,112.97,6.0000
65,128.45,6.0000
66,122.14,6.0000
67,123.58,6.0000
68,118.46,6.0000
69,127.58,6.0000
70,144.07,7.0000
71,113.32,7.0000
72,146.83,7.0000
73,127.63,7.0000
74,129.74,7.0000
75,166.15,7.0000
76,162.07,7.0000
77,117.37,7.0000
78,200.38,7.0000
79,131.70,7.0000
80,124.61,7.0000
81,129.09,7.0000
82,126.80,8.0000
83,113.00,8.0000
84,131.28,8.0000
85,123.51,8.0000
86,130.30,8.0000
87,138.16,8.0000
88,126.04,8.0000
89,126.62,8.0000
90,131.35,8.0000
91,160.50,8.0000
92,127.47,8.0000
93,128.37,8.0000
94,106.78,8.0000
95,101.81,8.0000
96,132.34,8.0000
97,129.70,8.0000
98,127.92,8.0000
99,113.21,8.0000
100,122.21,8.0000
101,137.88,8.0000
102,124.66,8.0000
103,127.37,8.0000
104,125.05,8.0000
105,113.98,8.0000
106,125.17,8.0000
107,123.54,8.0000
108,134.20,8.0000
109,123.77,8.0000
110,128.58,8.0000
111,107.01,8.0000
112,99.92,7.0000
113,95.26,7.0000
114,108.51,7.0000
115,118.12,7.0000
116,118.70,7.0000
117,122.50,7.0000
118,120.02,7.0000
119,117.29,7.0000
120,138.22,7.0000
121,95.10,7.0000
122,117.19,7.0000
123,101.90,7.0000
124,120.59,7.0000
125,127.94,7.0000
126,127.22,7.0000
127,120.58,7.0000
128,128.10,7.0000
129,128.50,7.0000
130,122.54,7.0000
131,127.21,7.0000
132,125.86,7.0000
133,151.16,7.0000
134,125.54,7.0000
135,134.38,7.0000
136,131.94,7.0000
137,124.92,7.0000
138,129.14,7.0000
139,172.69,7.0000
140,124.54,7.0000
141,115.42,7.0000
142,157.12,7.0000
143,178.25,7.0000
144,121.91,7.0000
145,191.73,7.0000
146,126.18,7.0000
147,129.31,7.0000
148,119.26,7.0000
149,140.96,7.0000
150,163.86,7.0000
151,119.66,7.0000
152,132.84,7.0000
153,206.50,7.0000
154,126.22,7.0000
155,128.68,7.0000
156,211.19,7.0000
157,148.81,7.0000
158,128.33,7.0000
159,116.86,7.0000
160,127.57,7.0000
161,137.96,7.0000
162,114.74,7.0000
163,145.26,7.0000
164,164.94,7.0000
165,129.79,7.0000
166,133.60,7.0000
167,128.45,7.0000
168,139.31,7.0000
169,98.15,7.0000
170,124.04,7.0000
171,132.32,7.0000
172,113.97,7.0000
173,96.74,7.0000
174,132.49,7.0000
175,129.46,7.0000
176,119.10,7.0000
177,129.19,7.0000
178,158.91,7.0000
179,154.53,7.0000
180,118.97,7.0000
181,124.31,7.0000
182,161.93,7.0000
183,105.35,7.0000
184,167.70,7.0000
185,132.09,7.0000
186,129.58,7.0000
187,119.26,7.0000
188,135.38,7.0000
189,162.57,7.0000
190,146.13,7.0000
191,166.95,7.0000
192,164.69,7.0000
193,144.92,7.0000
194,116.72,7.0000
195,117.86,7.0000
196,121.85,7.0000
197,130.77,7.0000
198,123.27,7.0000
199,161.74,7.0000
200,105.21,7.0000
201,122.51,7.0000
202,129.69,7.0000
203,229.10,7.0000
204,161.59,7.0000
205,117.67,7.0000
206,156.17,7.0000
207,130.62,7.0000
208,126.00,7.0000
209,128.46,7.0000
210,160.64,6.0000
211,158.12,6.0000
212,130.49,6.0000
213,115.88,6.0000
214,119.94,6.0000
215,130.43,6.0000
216,126.25,6.0000
217,111.84,6.0000
218,153.57,6.0000
219,109.54,6.0000
220,104.87,6.0000
221,114.76,6.0000
222,115.24,6.0000
223,122.32,6.0000
224,143.85,6.0000
225,114.11,6.0000
226,133.62,6.0000
227,127.28,6.0000
228,128.54,6.0000
229,123.71,6.0000
230,161.55,6.0000
231,121.49,6.0000
232,129.69,6.0000
233,130.95,6.0000
234,114.69,6.0000
235,115.91,6.0000
236,134.88,6.0000
237,118.08,6.0000
238,115.68,6.0000
239,130.92,6.0000
240,109.42,6.0000
241,129.11,6.0000
242,124.64,6.0000
243,103.75,6.0000
244,118.64,6.0000
245,111.19,6.0000
246,121.29,6.0000
247,131.44,6.0000
248,128.98,6.0000
249,123.31,6.0000
250,120.38,6.0000
251,169.19,6.0000
252,128.61,6.0000
253,121.05,6.0000
254,131.95,6.0000
255,142.82,6.0000
256,173.46,6.0000
257,207.53,6.0000
258,254.41,6.0000
259,270.60,6.0000
260,261.41,6.0000
261,266.71,6.0000
262,205.17,6.0000
263,291.69,6.0000
264,230.21,6.0000
265,259.66,6.0000
266,310.14,6.0000
267,285.41,6.0000
268,449.03,6.0000
269,224.26,5.0000
270,286.89,6.0000
271,318.38,6.0000
272,344.82,6.0000
273,365.22,6.0000
274,317.00,6.0000
275,438.58,6.0000
276,384.04,6.0000
277,389.93,6.0000
278,701.69,6.0000
279,436.10,6.0000
280,362.88,6.0000
281,570.84,7.0000
282,408.91,7.0000
283,674.52,7.0000
284,689.01,7.0000
285,649.63,7.0000
286,629.10,7.0000
287,716.35,8.0000
288,630.53,8.0000
289,629.61,8.0000
290,366.30,8.0000
291,536.89,8.0000
292,384.35,8.0000
293,361.05,8.0000
294,563.65,8.0000
295,370.62,8.0000
296,329.65,8.0000
297,391.00,8.0000
298,383.61,8.0000
299,516.39,8.0000
300,392.25,8.0000
301,392.12,8.0000
302,413.08,8.0000
303,393.87,8.0000
304,474.64,8.0000
305,371.45,8.0000
306,387.71,8.0000
307,385.49,8.0000
308,405.79,8.0000
309,372.96,8.0000
310,359.83,8.0000
311,371.43,8.0000
312,383.11,8.0000
313,378.53,8.0000
314,400.45,8.0000
315,386.23,8.0000
316,401.49,8.0000
317,398.78,8.0000
318,382.72,8.0000
319,379.76,8.0000
320,367.24,8.0000
321,408.09,8.0000
322,384.26,8.0000
323,368.67,8.0000
324,404.69,8.0000
325,465.98,8.0000
326,568.89,8.0000
327,472.66,8.0000
328,391.72,8.0000
329,473.31,8.0000
330,469.73,8.0000
331,493.17,8.0000
332,443.38,8.0000
333,416.54,8.0000
334,461.43,8.0000
335,472.50,8.0000
336,423.52,8.0000
337,454.53,8.0000
338,438.49,8.0000
339,620.01,8.0000
340,467.59,8.0000
341,399.52,8.0000
342,526.51,8.0000
343,378.40,8.0000
344,381.05,8.0000
345,386.49,8.0000
346,376.86,8.0000
347,386.23,8.0000
348,384.02,8.0000
349,354.62,8.0000
350,371.74,8.0000
351,373.23,8.0000
352,363.62,8.0000
353,362.23,8.0000
354,362.75,8.0000
355,381.03,8.0000
356,373.80,8.0000
357,357.27,8.0000
358,342.75,8.0000
359,385.31,8.0000
360,331.52,8.0000
361,367.52,8.0000
362,380.42,8.0000
363,371.22,8.0000
364,374.91,8.0000
365,362.00,8.0000
366,358.70,8.0000
367,402.49,8.0000
368,342.36,8.0000
369,382.14,8.0000
370,368.84,8.0000
371,429.02,8.0000
372,353.88,8.0000
373,385.70,8.0000
374,398.28,8.0000
375,401.25,8.0000
376,218.96,8.0000
377,372.10,8.0000
378,329.35,8.0000
379,357.18,8.0000
380,401.19,8.0000
381,386.73,8.0000
382,372.98,8.0000
383,337.36,8.0000
384,375.97,8.0000
385,364.10,8.0000
386,389.35,8.0000
387,335.94,8.0000
388,337.76,8.0000
389,354.40,8.0000
390,423.30,8.0000
391,338.22,8.0000
392,366.65,8.0000
393,388.46,8.0000
394,337.11,8.0000
395,338.13,8.0000
396,344.88,8.0000
397,373.53,8.0000
398,342.72,8.0000
399,386.88,8.0000
400,357.23,8.0000
401,341.72,8.0000
402,329.05,8.0000
403,393.61,8.0000
404,553.99,8.0000
405,371.98,8.0000
406,358.82,8.0000
407,401.54,8.0000
408,377.51,8.0000
409,387.26,8.0000
410,354.83,8.0000
411,394.19,8.0000
412,401.35,8.0000
