second,p99_latency_ms,cpu_cores
0,157.17,1.0000
1,125.51,1.0000
2,162.66,1.0000
3,166.84,1.0000
4,162.41,1.0000
5,396.34,1.0000
6,206.94,1.0000
7,265.13,1.0000
8,258.98,1.0000
9,325.18,1.0000
10,193.99,1.0000
11,375.58,1.0000
12,491.47,1.0000
13,167.76,1.0000
14,202.97,1.0000
15,392.51,1.0000
16,243.75,1.0000
17,163.83,1.0000
18,321.68,1.0000
19,299.16,1.0000
20,135.51,1.0000
21,130.86,1.0000
22,115.77,1.0000
23,119.57,1.0000
24,78.68,1.0000
25,128.34,1.0000
26,141.67,1.0000
27,375.12,1.0000
28,120.72,1.0000
29,80.64,1.0000
30,210.30,1.0000
31,123.62,1.0000
32,132.69,1.0000
33,116.34,1.0000
34,123.47,1.0000
35,112.88,1.0000
36,122.56,1.0000
37,128.84,1.0000
38,152.71,1.0000
39,122.90,1.0000
40,161.58,1.0000
41,149.30,1.0000
42,172.21,1.0000
43,121.29,1.0000
44,109.72,1.0000
45,116.51,1.0000
46,123.98,1.0000
47,165.61,1.0000
48,123.61,1.0000
49,127.21,1.0000
50,129.15,1.0000
51,71.27,1.0000
52,131.97,1.0000
53,113.37,1.0000
54,117.40,1.0000
55,128.92,1.0000
56,188.04,1.0000
57,242.79,1.0000
58,195.33,1.0000
59,69.66,1.0000
60,373.86,1.0000
61,203.57,1.0000
62,258.36,1.0000
63,175.43,1.0000
64,146.22,1.0000
65,217.36,1.0000
66,148.12,1.0000
67,309.67,1.0000
68,251.89,1.0000
69,325.64,1.0000
70,179.73,1.0000
71,217.34,1.0000
72,325.08,1.0000
73,219.07,1.0000
74,165.01,1.0000
75,87.43,1.0000
76,302.32,1.0000
77,142.51,1.0000
78,139.64,1.0000
79,82.71,1.0000
80,150.09,1.0000
81,172.49,1.0000
82,130.58,1.0000
83,157.87,1.0000
84,206.41,1.0000
85,219.96,1.0000
86,94.59,1.0000
87,138.06,1.0000
88,149.67,1.0000
89,112.75,1.0000
90,127.22,1.0000
91,193.84,1.0000
92,121.11,1.0000
93,115.43,1.0000
94,118.44,1.0000
95,162.06,1.0000
96,174.70,1.0000
97,121.64,1.0000
98,72.79,1.0000
99,123.27,1.0000
100,114.72,1.0000
101,120.40,1.0000
102,291.59,1.0000
103,309.51,1.0000
104,165.57,1.0000
105,181.22,1.0000
106,153.14,1.0000
107,165.85,1.0000
108,127.35,1.0000
109,130.72,1.0000
110,134.26,1.0000
111,300.21,1.0000
112,217.95,1.0000
113,127.54,1.0000
114,231.37,1.0000
115,157.84,1.0000
116,130.95,1.0000
117,116.69,1.0000
118,135.77,1.0000
119,158.67,1.0000
120,357.74,1.0000
121,118.30,1.0000
122,151.19,1.0000
123,133.34,1.0000
124,121.74,1.0000
125,130.96,1.0000
126,164.45,1.0000
127,116.55,1.0000
128,154.87,1.0000
129,394.47,1.0000
130,177.68,1.0000
131,163.35,1.0000
132,484.24,1.0000
133,390.13,1.0000
134,163.43,1.0000
135,223.13,1.0000
136,236.33,1.0000
137,176.59,1.0000
138,74.20,1.0000
139,124.97,1.0000
140,288.43,1.0000
141,150.92,1.0000
142,322.59,1.0000
143,167.89,1.0000
144,120.63,1.0000
145,113.88,1.0000
146,229.76,1.0000
147,176.23,1.0000
148,133.82,1.0000
149,388.55,1.0000
150,175.20,1.0000
151,389.31,1.0000
152,309.84,1.0000
153,400.35,1.0000
154,217.85,1.0000
155,119.85,1.0000
156,387.98,1.0000
157,241.36,1.0000
158,331.07,1.0000
159,579.12,1.0000
160,165.34,1.0000
161,325.38,1.0000
162,215.65,1.0000
163,121.69,1.0000
164,228.39,1.0000
165,215.61,1.0000
166,93.61,1.0000
167,122.72,1.0000
168,151.06,1.0000
169,142.08,1.0000
170,160.11,1.0000
171,207.21,1.0000
172,326.72,1.0000
173,172.23,1.0000
174,156.69,1.0000
175,88.39,1.0000
176,159.00,1.0000
177,190.00,1.0000
178,389.95,1.0000
179,176.83,1.0000
180,136.62,1.0000
181,155.17,1.0000
182,492.29,1.0000
183,176.54,1.0000
184,477.74,1.0000
185,118.65,1.0000
186,147.35,1.0000
187,308.75,1.0000
188,177.87,1.0000
189,78.32,1.0000
190,282.78,1.0000
191,249.17,1.0000
192,193.54,1.0000
193,169.58,1.0000
194,132.32,1.0000
195,381.01,1.0000
196,326.34,1.0000
197,331.88,1.0000
198,485.96,1.0000
199,196.13,1.0000
200,582.27,1.0000
201,327.08,1.0000
202,168.91,1.0000
203,394.86,1.0000
204,305.96,1.0000
205,140.13,1.0000
206,137.57,1.0000
207,133.18,1.0000
208,89.84,1.0000
209,159.91,1.0000
210,586.59,1.0000
211,484.04,1.0000
212,125.96,1.0000
213,237.25,1.0000
214,307.51,1.0000
215,180.11,1.0000
216,223.89,1.0000
217,590.41,1.0000
218,232.31,1.0000
219,321.74,1.0000
220,172.46,1.0000
221,328.59,1.0000
222,483.14,1.0000
223,145.36,1.0000
224,234.87,1.0000
225,228.97,1.0000
226,163.71,1.0000
227,215.90,1.0000
228,302.19,1.0000
229,163.60,1.0000
230,487.58,1.0000
231,501.46,1.0000
232,167.08,1.0000
233,144.02,1.0000
234,290.82,1.0000
235,174.14,1.0000
236,111.45,1.0000
237,132.94,1.0000
238,124.08,1.0000
239,118.23,1.0000
240,117.76,1.0000
241,118.02,1.0000
242,124.72,1.0000
243,119.56,1.0000
244,117.78,1.0000
